feature,importance
Satisfaction Score,0.41873329326544545
Churn Score,0.2601631662738686
tenure,0.04218226879072243
MonthlyCharges,0.02678506621593792
Total Revenue,0.026686582146142696
Number of Referrals,0.02254368570037268
TotalCharges,0.01985744215127662
Avg Monthly GB Download,0.01628062221956693
Total Long Distance Charges,0.015745179731455557
CLTV,0.011101073519757339
Zip Code,0.010844401994361774
Latitude,0.010165245343432827
Internet Service,0.010162720891437611
Longitude,0.0100967622055822
Number of Dependents,0.010019381753206604
Age,0.00987071407122544
Online Security,0.00976611449132394
Avg Monthly Long Distance Charges,0.009543712179191978
Population,0.00954101088812441
Dependents,0.00916821929390731
Paperless Billing,0.007100479205821671
Premium Tech Support,0.005941210581020933
Unlimited Data,0.0030822301234616654
Multiple Lines,0.0024509014602549072
Referred a Friend,0.002393100808801148
Total Extra Data Charges,0.002296793934874482
Senior Citizen,0.0021350624377511323
Device Protection Plan,0.0021273001356504257
Streaming TV,0.001968195674046493
Streaming Music,0.0017634387938816798
Online Backup,0.0017001684666109048
Streaming Movies,0.0016982025952307141
Partner,0.0016210075194576373
Married,0.0014027419898462578
Total Refunds,0.0013839964711953943
Phone Service,0.0008535538723373203
Under 30,0.0008249528034170442
