,missing_count,missing_percentage
Age,0,0.0
Avg Monthly GB Download,0,0.0
Avg Monthly Long Distance Charges,0,0.0
Churn Category,3104,73.47
Churn Reason,3104,73.47
Churn Score,0,0.0
City,0,0.0
CLTV,0,0.0
Contract,0,0.0
Country,0,0.0
Customer ID,0,0.0
Customer Status,0,0.0
Dependents,0,0.0
Device Protection Plan,0,0.0
Gender,0,0.0
Internet Service,0,0.0
Internet Type,886,20.97
Lat Long,0,0.0
Latitude,0,0.0
Longitude,0,0.0
Married,0,0.0
MonthlyCharges,0,0.0
Multiple Lines,0,0.0
Number of Dependents,0,0.0
Number of Referrals,0,0.0
Offer,2324,55.01
Online Backup,0,0.0
Online Security,0,0.0
Paperless Billing,0,0.0
Partner,0,0.0
Payment Method,0,0.0
Phone Service,0,0.0
Population,0,0.0
Premium Tech Support,0,0.0
Quarter,0,0.0
Referred a Friend,0,0.0
Satisfaction Score,0,0.0
Senior Citizen,0,0.0
State,0,0.0
Streaming Movies,0,0.0
Streaming Music,0,0.0
Streaming TV,0,0.0
tenure,0,0.0
TotalCharges,0,0.0
Total Extra Data Charges,0,0.0
Total Long Distance Charges,0,0.0
Total Refunds,0,0.0
Total Revenue,0,0.0
Under 30,0,0.0
Unlimited Data,0,0.0
Zip Code,0,0.0
Churn,0,0.0
